# Godzilla Pro device positions, from the game binary.
# 575 records (coil=10 led=506 switch=59), 164 on the playfield image.
# playfield image: assets/nuk/images/Test/scaled_godzilla_pro_playfield.png (313x710)
# class   name                                   x     y    w    h  grp index  conn   image
led       ETOPPER CENTER LED 20-G              561   279   30   30    3   130         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 20-B              561   279   30   30    3   129         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 21-R              561   279   30   30    3   131         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 21-G              526   279   30   30    3   133         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 21-B              526   279   30   30    3   132         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 22-R              526   279   30   30    3   134         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 22-G              492   279   30   30    3   136         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 22-B              492   279   30   30    3   135         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 23-R              492   279   30   30    3   137         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 23-G              457   279   30   30    3   139         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 23-B              457   279   30   30    3   138         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 24-R              457   279   30   30    3   140         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 24-G              422   279   30   30    3   142         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 24-B              422   279   30   30    3   141         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 25-R              422   279   30   30    3   143         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 25-G              387   279   30   30    3   145         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 25-B              387   279   30   30    3   144         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 26-R              387   279   30   30    3   146         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 26-G              352   279   30   30    3   148         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 26-B              352   279   30   30    3   147         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 27-R              352   279   30   30    3   149         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 27-G              317   279   30   30    3   151         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 27-B              317   279   30   30    3   150         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 28-R              317   279   30   30    3   152         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 28-G              282   279   30   30    3   154         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 28-B              282   279   30   30    3   153         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 29-R              282   279   30   30    3   155         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 29-G              247   279   30   30    3   157         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 29-B              247   279   30   30    3   156         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 30-R              247   279   30   30    3   158         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 30-G              213   279   30   30    3   160         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 30-B              213   279   30   30    3   159         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 31-R              213   279   30   30    3   161         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 31-G              178   279   30   30    3   163         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 31-B              178   279   30   30    3   162         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 32-R              178   279   30   30    3   164         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 32-G              143   279   30   30    3   166         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 32-B              143   279   30   30    3   165         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 33-R              143   279   30   30    3   167         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 33-G              108   279   30   30    3   169         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 33-B              108   279   30   30    3   168         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 34-R              108   279   30   30    3   170         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 34-G               73   279   30   30    3   172         System/TestMode/universal_topper_scaled
led       ETOPPER CENTER LED 34-B               73   279   30   30    3   171         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 1-R                 73   279   30   30    3   173         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 1-G                 73   297   30   30    3   175         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 1-B                 73   297   30   30    3   174         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 2-R                 73   297   30   30    3   176         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 2-G                108   297   30   30    3   178         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 2-B                108   297   30   30    3   177         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 3-R                108   297   30   30    3   179         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 3-G                143   297   30   30    3   181         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 3-B                143   297   30   30    3   180         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 4-R                143   297   30   30    3   182         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 4-G                178   297   30   30    3   184         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 4-B                178   297   30   30    3   183         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 5-R                178   297   30   30    3   185         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 5-G                213   297   30   30    3   187         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 5-B                213   297   30   30    3   186         System/TestMode/universal_topper_scaled
led       ETOPPER FRONT LED 6-R                213   297   30   30    3   188         System/TestMode/universal_topper_scaled
